"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"23/01/2024 13:00:00 - 23/01/2024 14:00:00","BZN|SE1","Without Sequence","26.76","",""
"23/01/2024 14:00:00 - 23/01/2024 15:00:00","BZN|SE1","Without Sequence","26.73","",""
"23/01/2024 15:00:00 - 23/01/2024 16:00:00","BZN|SE1","Without Sequence","29.00","",""
"23/01/2024 16:00:00 - 23/01/2024 17:00:00","BZN|SE1","Without Sequence","29.08","",""
"23/01/2024 17:00:00 - 23/01/2024 18:00:00","BZN|SE1","Without Sequence","28.70","",""
"23/01/2024 18:00:00 - 23/01/2024 19:00:00","BZN|SE1","Without Sequence","29.01","",""
"23/01/2024 19:00:00 - 23/01/2024 20:00:00","BZN|SE1","Without Sequence","30.30","",""
"23/01/2024 20:00:00 - 23/01/2024 21:00:00","BZN|SE1","Without Sequence","32.75","",""
"23/01/2024 21:00:00 - 23/01/2024 22:00:00","BZN|SE1","Without Sequence","35.94","",""
"23/01/2024 22:00:00 - 23/01/2024 23:00:00","BZN|SE1","Without Sequence","40.82","",""
"23/01/2024 23:00:00 - 24/01/2024 00:00:00","BZN|SE1","Without Sequence","33.26","",""
"24/01/2024 00:00:00 - 24/01/2024 01:00:00","BZN|SE1","Without Sequence","28.61","",""
"24/01/2024 01:00:00 - 24/01/2024 02:00:00","BZN|SE1","Without Sequence","25.17","",""
"24/01/2024 02:00:00 - 24/01/2024 03:00:00","BZN|SE1","Without Sequence","20.64","",""
"24/01/2024 03:00:00 - 24/01/2024 04:00:00","BZN|SE1","Without Sequence","18.82","",""
"24/01/2024 04:00:00 - 24/01/2024 05:00:00","BZN|SE1","Without Sequence","17.85","",""
"24/01/2024 05:00:00 - 24/01/2024 06:00:00","BZN|SE1","Without Sequence","19.55","",""
"24/01/2024 06:00:00 - 24/01/2024 07:00:00","BZN|SE1","Without Sequence","25.50","",""
"24/01/2024 07:00:00 - 24/01/2024 08:00:00","BZN|SE1","Without Sequence","38.73","",""
"24/01/2024 08:00:00 - 24/01/2024 09:00:00","BZN|SE1","Without Sequence","49.43","",""
"24/01/2024 09:00:00 - 24/01/2024 10:00:00","BZN|SE1","Without Sequence","49.54","",""
"24/01/2024 10:00:00 - 24/01/2024 11:00:00","BZN|SE1","Without Sequence","50.10","",""
"24/01/2024 11:00:00 - 24/01/2024 12:00:00","BZN|SE1","Without Sequence","50.76","",""
"24/01/2024 12:00:00 - 24/01/2024 13:00:00","BZN|SE1","Without Sequence","39.34","",""
"24/01/2024 13:00:00 - 24/01/2024 14:00:00","BZN|SE1","Without Sequence","37.34","",""
"24/01/2024 14:00:00 - 24/01/2024 15:00:00","BZN|SE1","Without Sequence","45.04","",""
"24/01/2024 15:00:00 - 24/01/2024 16:00:00","BZN|SE1","Without Sequence","49.95","",""
"24/01/2024 16:00:00 - 24/01/2024 17:00:00","BZN|SE1","Without Sequence","50.80","",""
"24/01/2024 17:00:00 - 24/01/2024 18:00:00","BZN|SE1","Without Sequence","54.21","",""
"24/01/2024 18:00:00 - 24/01/2024 19:00:00","BZN|SE1","Without Sequence","50.79","",""
"24/01/2024 19:00:00 - 24/01/2024 20:00:00","BZN|SE1","Without Sequence","49.48","",""
"24/01/2024 20:00:00 - 24/01/2024 21:00:00","BZN|SE1","Without Sequence","42.18","",""
"24/01/2024 21:00:00 - 24/01/2024 22:00:00","BZN|SE1","Without Sequence","40.04","",""
"24/01/2024 22:00:00 - 24/01/2024 23:00:00","BZN|SE1","Without Sequence","42.01","",""
"24/01/2024 23:00:00 - 25/01/2024 00:00:00","BZN|SE1","Without Sequence","38.53","",""
"25/01/2024 00:00:00 - 25/01/2024 01:00:00","BZN|SE1","Without Sequence","43.84","",""
"25/01/2024 01:00:00 - 25/01/2024 02:00:00","BZN|SE1","Without Sequence","43.97","",""
"25/01/2024 02:00:00 - 25/01/2024 03:00:00","BZN|SE1","Without Sequence","42.76","",""
"25/01/2024 03:00:00 - 25/01/2024 04:00:00","BZN|SE1","Without Sequence","43.85","",""
"25/01/2024 04:00:00 - 25/01/2024 05:00:00","BZN|SE1","Without Sequence","45.11","",""
"25/01/2024 05:00:00 - 25/01/2024 06:00:00","BZN|SE1","Without Sequence","51.01","",""
"25/01/2024 06:00:00 - 25/01/2024 07:00:00","BZN|SE1","Without Sequence","59.39","",""
"25/01/2024 07:00:00 - 25/01/2024 08:00:00","BZN|SE1","Without Sequence","66.05","",""
"25/01/2024 08:00:00 - 25/01/2024 09:00:00","BZN|SE1","Without Sequence","89.02","",""
"25/01/2024 09:00:00 - 25/01/2024 10:00:00","BZN|SE1","Without Sequence","85.25","",""
"25/01/2024 10:00:00 - 25/01/2024 11:00:00","BZN|SE1","Without Sequence","81.35","",""
"25/01/2024 11:00:00 - 25/01/2024 12:00:00","BZN|SE1","Without Sequence","76.22","",""
"25/01/2024 12:00:00 - 25/01/2024 13:00:00","BZN|SE1","Without Sequence","72.63","",""
"25/01/2024 13:00:00 - 25/01/2024 14:00:00","BZN|SE1","Without Sequence","75.44","",""
"25/01/2024 14:00:00 - 25/01/2024 15:00:00","BZN|SE1","Without Sequence","79.56","",""
"25/01/2024 15:00:00 - 25/01/2024 16:00:00","BZN|SE1","Without Sequence","68.95","",""
"25/01/2024 16:00:00 - 25/01/2024 17:00:00","BZN|SE1","Without Sequence","71.50","",""
"25/01/2024 17:00:00 - 25/01/2024 18:00:00","BZN|SE1","Without Sequence","99.24","",""
"25/01/2024 18:00:00 - 25/01/2024 19:00:00","BZN|SE1","Without Sequence","111.96","",""
"25/01/2024 19:00:00 - 25/01/2024 20:00:00","BZN|SE1","Without Sequence","72.87","",""
"25/01/2024 20:00:00 - 25/01/2024 21:00:00","BZN|SE1","Without Sequence","65.33","",""
"25/01/2024 21:00:00 - 25/01/2024 22:00:00","BZN|SE1","Without Sequence","63.21","",""
"25/01/2024 22:00:00 - 25/01/2024 23:00:00","BZN|SE1","Without Sequence","63.40","",""
"25/01/2024 23:00:00 - 26/01/2024 00:00:00","BZN|SE1","Without Sequence","62.34","",""
"26/01/2024 00:00:00 - 26/01/2024 01:00:00","BZN|SE1","Without Sequence","52.97","",""
"26/01/2024 01:00:00 - 26/01/2024 02:00:00","BZN|SE1","Without Sequence","44.06","",""
"26/01/2024 02:00:00 - 26/01/2024 03:00:00","BZN|SE1","Without Sequence","39.79","",""
"26/01/2024 03:00:00 - 26/01/2024 04:00:00","BZN|SE1","Without Sequence","38.23","",""
"26/01/2024 04:00:00 - 26/01/2024 05:00:00","BZN|SE1","Without Sequence","36.15","",""
"26/01/2024 05:00:00 - 26/01/2024 06:00:00","BZN|SE1","Without Sequence","33.00","",""
"26/01/2024 06:00:00 - 26/01/2024 07:00:00","BZN|SE1","Without Sequence","34.35","",""
"26/01/2024 07:00:00 - 26/01/2024 08:00:00","BZN|SE1","Without Sequence","35.21","",""
"26/01/2024 08:00:00 - 26/01/2024 09:00:00","BZN|SE1","Without Sequence","34.80","",""
"26/01/2024 09:00:00 - 26/01/2024 10:00:00","BZN|SE1","Without Sequence","36.05","",""
"26/01/2024 10:00:00 - 26/01/2024 11:00:00","BZN|SE1","Without Sequence","36.33","",""
"26/01/2024 11:00:00 - 26/01/2024 12:00:00","BZN|SE1","Without Sequence","35.20","",""
"26/01/2024 12:00:00 - 26/01/2024 13:00:00","BZN|SE1","Without Sequence","35.86","",""
"26/01/2024 13:00:00 - 26/01/2024 14:00:00","BZN|SE1","Without Sequence","34.95","",""
"26/01/2024 14:00:00 - 26/01/2024 15:00:00","BZN|SE1","Without Sequence","33.06","",""
"26/01/2024 15:00:00 - 26/01/2024 16:00:00","BZN|SE1","Without Sequence","32.22","",""
"26/01/2024 16:00:00 - 26/01/2024 17:00:00","BZN|SE1","Without Sequence","33.06","",""
"26/01/2024 17:00:00 - 26/01/2024 18:00:00","BZN|SE1","Without Sequence","33.06","",""
"26/01/2024 18:00:00 - 26/01/2024 19:00:00","BZN|SE1","Without Sequence","35.97","",""
"26/01/2024 19:00:00 - 26/01/2024 20:00:00","BZN|SE1","Without Sequence","33.51","",""
"26/01/2024 20:00:00 - 26/01/2024 21:00:00","BZN|SE1","Without Sequence","27.58","",""
"26/01/2024 21:00:00 - 26/01/2024 22:00:00","BZN|SE1","Without Sequence","25.76","",""
"26/01/2024 22:00:00 - 26/01/2024 23:00:00","BZN|SE1","Without Sequence","24.39","",""
"26/01/2024 23:00:00 - 27/01/2024 00:00:00","BZN|SE1","Without Sequence","21.98","",""
"27/01/2024 00:00:00 - 27/01/2024 01:00:00","BZN|SE1","Without Sequence","19.32","",""
"27/01/2024 01:00:00 - 27/01/2024 02:00:00","BZN|SE1","Without Sequence","18.26","",""
"27/01/2024 02:00:00 - 27/01/2024 03:00:00","BZN|SE1","Without Sequence","17.63","",""
"27/01/2024 03:00:00 - 27/01/2024 04:00:00","BZN|SE1","Without Sequence","18.02","",""
"27/01/2024 04:00:00 - 27/01/2024 05:00:00","BZN|SE1","Without Sequence","18.49","",""
"27/01/2024 05:00:00 - 27/01/2024 06:00:00","BZN|SE1","Without Sequence","18.84","",""
"27/01/2024 06:00:00 - 27/01/2024 07:00:00","BZN|SE1","Without Sequence","19.41","",""
"27/01/2024 07:00:00 - 27/01/2024 08:00:00","BZN|SE1","Without Sequence","20.71","",""
"27/01/2024 08:00:00 - 27/01/2024 09:00:00","BZN|SE1","Without Sequence","21.00","",""
"27/01/2024 09:00:00 - 27/01/2024 10:00:00","BZN|SE1","Without Sequence","21.03","",""
"27/01/2024 10:00:00 - 27/01/2024 11:00:00","BZN|SE1","Without Sequence","21.13","",""
"27/01/2024 11:00:00 - 27/01/2024 12:00:00","BZN|SE1","Without Sequence","21.02","",""
"27/01/2024 12:00:00 - 27/01/2024 13:00:00","BZN|SE1","Without Sequence","20.53","",""
"27/01/2024 13:00:00 - 27/01/2024 14:00:00","BZN|SE1","Without Sequence","20.08","",""
"27/01/2024 14:00:00 - 27/01/2024 15:00:00","BZN|SE1","Without Sequence","20.03","",""
"27/01/2024 15:00:00 - 27/01/2024 16:00:00","BZN|SE1","Without Sequence","20.17","",""
"27/01/2024 16:00:00 - 27/01/2024 17:00:00","BZN|SE1","Without Sequence","20.33","",""
"27/01/2024 17:00:00 - 27/01/2024 18:00:00","BZN|SE1","Without Sequence","20.67","",""
"27/01/2024 18:00:00 - 27/01/2024 19:00:00","BZN|SE1","Without Sequence","20.41","",""
"27/01/2024 19:00:00 - 27/01/2024 20:00:00","BZN|SE1","Without Sequence","18.62","",""
"27/01/2024 20:00:00 - 27/01/2024 21:00:00","BZN|SE1","Without Sequence","15.13","",""
"27/01/2024 21:00:00 - 27/01/2024 22:00:00","BZN|SE1","Without Sequence","10.14","",""
"27/01/2024 22:00:00 - 27/01/2024 23:00:00","BZN|SE1","Without Sequence","3.48","",""
"27/01/2024 23:00:00 - 28/01/2024 00:00:00","BZN|SE1","Without Sequence","2.76","",""
"28/01/2024 00:00:00 - 28/01/2024 01:00:00","BZN|SE1","Without Sequence","0.01","",""
"28/01/2024 01:00:00 - 28/01/2024 02:00:00","BZN|SE1","Without Sequence","2.62","",""
"28/01/2024 02:00:00 - 28/01/2024 03:00:00","BZN|SE1","Without Sequence","3.48","",""
"28/01/2024 03:00:00 - 28/01/2024 04:00:00","BZN|SE1","Without Sequence","11.48","",""
"28/01/2024 04:00:00 - 28/01/2024 05:00:00","BZN|SE1","Without Sequence","15.05","",""
"28/01/2024 05:00:00 - 28/01/2024 06:00:00","BZN|SE1","Without Sequence","16.34","",""
"28/01/2024 06:00:00 - 28/01/2024 07:00:00","BZN|SE1","Without Sequence","18.22","",""
"28/01/2024 07:00:00 - 28/01/2024 08:00:00","BZN|SE1","Without Sequence","18.76","",""
"28/01/2024 08:00:00 - 28/01/2024 09:00:00","BZN|SE1","Without Sequence","18.55","",""
"28/01/2024 09:00:00 - 28/01/2024 10:00:00","BZN|SE1","Without Sequence","18.66","",""
"28/01/2024 10:00:00 - 28/01/2024 11:00:00","BZN|SE1","Without Sequence","18.64","",""
"28/01/2024 11:00:00 - 28/01/2024 12:00:00","BZN|SE1","Without Sequence","18.73","",""
"28/01/2024 12:00:00 - 28/01/2024 13:00:00","BZN|SE1","Without Sequence","18.49","",""
"28/01/2024 13:00:00 - 28/01/2024 14:00:00","BZN|SE1","Without Sequence","18.05","",""
"28/01/2024 14:00:00 - 28/01/2024 15:00:00","BZN|SE1","Without Sequence","16.91","",""
"28/01/2024 15:00:00 - 28/01/2024 16:00:00","BZN|SE1","Without Sequence","17.91","",""
"28/01/2024 16:00:00 - 28/01/2024 17:00:00","BZN|SE1","Without Sequence","18.42","",""
"28/01/2024 17:00:00 - 28/01/2024 18:00:00","BZN|SE1","Without Sequence","18.26","",""
"28/01/2024 18:00:00 - 28/01/2024 19:00:00","BZN|SE1","Without Sequence","18.16","",""
"28/01/2024 19:00:00 - 28/01/2024 20:00:00","BZN|SE1","Without Sequence","13.42","",""
"28/01/2024 20:00:00 - 28/01/2024 21:00:00","BZN|SE1","Without Sequence","1.97","",""
"28/01/2024 21:00:00 - 28/01/2024 22:00:00","BZN|SE1","Without Sequence","0.01","",""
"28/01/2024 22:00:00 - 28/01/2024 23:00:00","BZN|SE1","Without Sequence","-0.01","",""
"28/01/2024 23:00:00 - 29/01/2024 00:00:00","BZN|SE1","Without Sequence","-0.31","",""
"29/01/2024 00:00:00 - 29/01/2024 01:00:00","BZN|SE1","Without Sequence","-0.42","",""
"29/01/2024 01:00:00 - 29/01/2024 02:00:00","BZN|SE1","Without Sequence","-1.72","",""
"29/01/2024 02:00:00 - 29/01/2024 03:00:00","BZN|SE1","Without Sequence","-1.78","",""
"29/01/2024 03:00:00 - 29/01/2024 04:00:00","BZN|SE1","Without Sequence","-1.77","",""
"29/01/2024 04:00:00 - 29/01/2024 05:00:00","BZN|SE1","Without Sequence","-1.41","",""
"29/01/2024 05:00:00 - 29/01/2024 06:00:00","BZN|SE1","Without Sequence","-0.11","",""
"29/01/2024 06:00:00 - 29/01/2024 07:00:00","BZN|SE1","Without Sequence","5.91","",""
"29/01/2024 07:00:00 - 29/01/2024 08:00:00","BZN|SE1","Without Sequence","19.17","",""
"29/01/2024 08:00:00 - 29/01/2024 09:00:00","BZN|SE1","Without Sequence","20.56","",""
"29/01/2024 09:00:00 - 29/01/2024 10:00:00","BZN|SE1","Without Sequence","21.75","",""
"29/01/2024 10:00:00 - 29/01/2024 11:00:00","BZN|SE1","Without Sequence","21.34","",""
"29/01/2024 11:00:00 - 29/01/2024 12:00:00","BZN|SE1","Without Sequence","21.08","",""
"29/01/2024 12:00:00 - 29/01/2024 13:00:00","BZN|SE1","Without Sequence","20.03","",""
"29/01/2024 13:00:00 - 29/01/2024 14:00:00","BZN|SE1","Without Sequence","19.86","",""
"29/01/2024 14:00:00 - 29/01/2024 15:00:00","BZN|SE1","Without Sequence","19.52","",""
"29/01/2024 15:00:00 - 29/01/2024 16:00:00","BZN|SE1","Without Sequence","19.52","",""
"29/01/2024 16:00:00 - 29/01/2024 17:00:00","BZN|SE1","Without Sequence","19.62","",""
"29/01/2024 17:00:00 - 29/01/2024 18:00:00","BZN|SE1","Without Sequence","19.87","",""
"29/01/2024 18:00:00 - 29/01/2024 19:00:00","BZN|SE1","Without Sequence","19.59","",""
"29/01/2024 19:00:00 - 29/01/2024 20:00:00","BZN|SE1","Without Sequence","19.67","",""
"29/01/2024 20:00:00 - 29/01/2024 21:00:00","BZN|SE1","Without Sequence","19.49","",""
"29/01/2024 21:00:00 - 29/01/2024 22:00:00","BZN|SE1","Without Sequence","19.17","",""
"29/01/2024 22:00:00 - 29/01/2024 23:00:00","BZN|SE1","Without Sequence","19.03","",""
"29/01/2024 23:00:00 - 30/01/2024 00:00:00","BZN|SE1","Without Sequence","18.93","",""
"30/01/2024 00:00:00 - 30/01/2024 01:00:00","BZN|SE1","Without Sequence","16.86","",""
"30/01/2024 01:00:00 - 30/01/2024 02:00:00","BZN|SE1","Without Sequence","17.22","",""
"30/01/2024 02:00:00 - 30/01/2024 03:00:00","BZN|SE1","Without Sequence","17.64","",""
"30/01/2024 03:00:00 - 30/01/2024 04:00:00","BZN|SE1","Without Sequence","18.21","",""
"30/01/2024 04:00:00 - 30/01/2024 05:00:00","BZN|SE1","Without Sequence","18.80","",""
"30/01/2024 05:00:00 - 30/01/2024 06:00:00","BZN|SE1","Without Sequence","20.22","",""
"30/01/2024 06:00:00 - 30/01/2024 07:00:00","BZN|SE1","Without Sequence","22.07","",""
"30/01/2024 07:00:00 - 30/01/2024 08:00:00","BZN|SE1","Without Sequence","23.42","",""
"30/01/2024 08:00:00 - 30/01/2024 09:00:00","BZN|SE1","Without Sequence","24.10","",""
"30/01/2024 09:00:00 - 30/01/2024 10:00:00","BZN|SE1","Without Sequence","24.22","",""
"30/01/2024 10:00:00 - 30/01/2024 11:00:00","BZN|SE1","Without Sequence","24.11","",""
"30/01/2024 11:00:00 - 30/01/2024 12:00:00","BZN|SE1","Without Sequence","24.36","",""
"30/01/2024 12:00:00 - 30/01/2024 13:00:00","BZN|SE1","Without Sequence","24.37","",""
"30/01/2024 13:00:00 - 30/01/2024 14:00:00","BZN|SE1","Without Sequence","24.45","",""
"30/01/2024 14:00:00 - 30/01/2024 15:00:00","BZN|SE1","Without Sequence","24.22","",""
"30/01/2024 15:00:00 - 30/01/2024 16:00:00","BZN|SE1","Without Sequence","24.29","",""
"30/01/2024 16:00:00 - 30/01/2024 17:00:00","BZN|SE1","Without Sequence","24.33","",""
"30/01/2024 17:00:00 - 30/01/2024 18:00:00","BZN|SE1","Without Sequence","23.98","",""
"30/01/2024 18:00:00 - 30/01/2024 19:00:00","BZN|SE1","Without Sequence","23.69","",""
"30/01/2024 19:00:00 - 30/01/2024 20:00:00","BZN|SE1","Without Sequence","23.10","",""
"30/01/2024 20:00:00 - 30/01/2024 21:00:00","BZN|SE1","Without Sequence","22.47","",""
"30/01/2024 21:00:00 - 30/01/2024 22:00:00","BZN|SE1","Without Sequence","22.90","",""
"30/01/2024 22:00:00 - 30/01/2024 23:00:00","BZN|SE1","Without Sequence","22.56","",""
"30/01/2024 23:00:00 - 31/01/2024 00:00:00","BZN|SE1","Without Sequence","20.74","",""
