"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|SE1","Without Sequence","255.86","",""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|SE1","Without Sequence","211.11","",""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|SE1","Without Sequence","203.28","",""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|SE1","Without Sequence","196.98","",""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|SE1","Without Sequence","197.86","",""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|SE1","Without Sequence","299.94","",""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|SE1","Without Sequence","449.64","",""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|SE1","Without Sequence","526.25","",""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|SE1","Without Sequence","349.95","",""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|SE1","Without Sequence","181.91","",""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|SE1","Without Sequence","149.60","",""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|SE1","Without Sequence","112.82","",""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|SE1","Without Sequence","100.10","",""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|SE1","Without Sequence","92.87","",""
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|SE1","Without Sequence","84.88","",""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|SE1","Without Sequence","83.20","",""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|SE1","Without Sequence","82.03","",""
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|SE1","Without Sequence","82.18","",""
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|SE1","Without Sequence","82.53","",""
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|SE1","Without Sequence","84.13","",""
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|SE1","Without Sequence","84.48","",""
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|SE1","Without Sequence","87.43","",""
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|SE1","Without Sequence","90.87","",""
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|SE1","Without Sequence","94.98","",""
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|SE1","Without Sequence","100.41","",""
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|SE1","Without Sequence","103.65","",""
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|SE1","Without Sequence","102.33","",""
