time,depot,charging_MW,base_load_MW,total_depot_load_MW,availability,day,dt_h,charging_efficiency
2026-01-01 23:00:00+00:00,ICA,0.6786087,0.8398949487,1.5185036486999999,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-01 23:00:00+00:00,Mathem,0.088608696,0.5728931945000001,0.6615018905000001,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-01 23:00:00+00:00,Postnord,0.37643478,0.4790467466,0.8554815266,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 00:00:00+00:00,Airmee,0.132,0.1764989998,0.3084989998,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 00:00:00+00:00,ICA,0.776,0.8756726467,1.6516726467,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 00:00:00+00:00,Mathem,0.286,0.5521187748999999,0.8381187748999999,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 00:00:00+00:00,Postnord,0.418,0.4581899446,0.8761899446,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 01:00:00+00:00,Airmee,0.132,0.1399122457,0.2719122457,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 01:00:00+00:00,ICA,0.776,0.8415569246,1.6175569246000001,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 01:00:00+00:00,Mathem,0.286,0.5213392083999999,0.8073392084,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 01:00:00+00:00,Postnord,0.418,0.451031397,0.869031397,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 02:00:00+00:00,Airmee,0.132,0.1610509297,0.2930509297,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 02:00:00+00:00,ICA,0.776,0.8176203834,1.5936203834,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 02:00:00+00:00,Mathem,0.286,0.5358820948999999,0.8218820948999999,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 02:00:00+00:00,Postnord,0.418,0.4287024746,0.8467024746,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 03:00:00+00:00,Airmee,0.073565217,0.1498244379999999,0.2233896549999999,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 03:00:00+00:00,ICA,0.776,0.834697402,1.610697402,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 03:00:00+00:00,Mathem,0.286,0.5110431931,0.7970431930999999,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 03:00:00+00:00,Postnord,0.0,0.4459288939,0.4459288939,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 04:00:00+00:00,Airmee,0.0,0.3061603076,0.3061603076,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 04:00:00+00:00,ICA,0.0,1.246824847,1.246824847,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 04:00:00+00:00,Mathem,0.0,0.8235775918,0.8235775918,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 04:00:00+00:00,Postnord,0.0,1.062638404,1.062638404,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 05:00:00+00:00,Airmee,0.0,0.3937159216,0.3937159216,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 05:00:00+00:00,ICA,0.0,1.361840635,1.361840635,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 05:00:00+00:00,Mathem,0.0,0.8968512812,0.8968512812,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 05:00:00+00:00,Postnord,0.0,1.272177994,1.272177994,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 06:00:00+00:00,Airmee,0.0,0.3791397195,0.3791397195,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 06:00:00+00:00,ICA,0.0,1.384578611,1.384578611,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 06:00:00+00:00,Mathem,0.0,0.9124684825,0.9124684825,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 06:00:00+00:00,Postnord,0.0,1.271836873,1.271836873,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 07:00:00+00:00,Airmee,0.0,0.3790071141,0.3790071141,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 07:00:00+00:00,ICA,0.0,1.371400862,1.371400862,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 07:00:00+00:00,Mathem,0.0,0.9258987391,0.9258987391,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 07:00:00+00:00,Postnord,0.0,1.282510612,1.282510612,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 08:00:00+00:00,Airmee,0.0,0.3830051724,0.3830051724,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 08:00:00+00:00,ICA,0.0,1.413467976,1.413467976,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 08:00:00+00:00,Mathem,0.0,0.9235148318,0.9235148318,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 08:00:00+00:00,Postnord,0.0,1.276076379,1.276076379,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 09:00:00+00:00,Airmee,0.0,0.3730526545,0.3730526545,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 09:00:00+00:00,ICA,0.0,1.398068304,1.398068304,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 09:00:00+00:00,Mathem,0.0,0.9242070949,0.9242070949,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 09:00:00+00:00,Postnord,0.0,1.278751073,1.278751073,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 10:00:00+00:00,Airmee,0.0,0.3161108721,0.3161108721,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 10:00:00+00:00,ICA,0.0,1.256540745,1.256540745,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 10:00:00+00:00,Mathem,0.0,0.8152301373,0.8152301373,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 10:00:00+00:00,Postnord,0.0,1.081201079,1.081201079,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 11:00:00+00:00,Airmee,0.0,0.3613440076,0.3613440076,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 11:00:00+00:00,ICA,0.0,1.269989007,1.269989007,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
2026-01-02 11:00:00+00:00,Mathem,0.0,0.8084984512,0.8084984512,0.0,2026-01-01 23:00:00+00:00,1.0,0.92
