time,depot,bus,charger_power_MW,safe_charging_limit_MW,all_installed_feasible,min_voltage_pu_at_full_charge,max_line_loading_percent_at_full_charge,max_trafo_loading_percent_at_full_charge,full_charge_failure_reason
2026-01-10 21:00:00+00:00,Airmee,1,0.132,0.132,True,0.9942793532618398,25.950817326841207,58.7044313549288,none
2026-01-10 22:00:00+00:00,ICA,1,0.776,0.776,True,0.9942679271412438,25.967310666304087,58.73805713572252,none
2026-01-10 22:00:00+00:00,Mathem,1,0.286,0.286,True,0.9942679271412438,25.967310666304087,58.73805713572252,none
2026-01-10 22:00:00+00:00,Postnord,1,0.418,0.418,True,0.9942679271412438,25.967310666304087,58.73805713572252,none
2026-01-10 22:00:00+00:00,Airmee,1,0.132,0.132,True,0.9942679271412438,25.967310666304087,58.73805713572252,none
2026-01-10 23:00:00+00:00,ICA,1,0.776,0.776,True,0.9943520112931973,25.845920464307635,58.4905416880143,none
2026-01-10 23:00:00+00:00,Mathem,1,0.286,0.286,True,0.9943520112931973,25.845920464307635,58.4905416880143,none
2026-01-10 23:00:00+00:00,Postnord,1,0.418,0.418,True,0.9943520112931973,25.845920464307635,58.4905416880143,none
2026-01-10 23:00:00+00:00,Airmee,1,0.132,0.132,True,0.9943520112931973,25.845920464307635,58.4905416880143,none
2026-01-11 00:00:00+00:00,ICA,1,0.776,0.776,True,0.9944080887752531,25.764941484915116,58.32538443016681,none
2026-01-11 00:00:00+00:00,Mathem,1,0.286,0.286,True,0.9944080887752531,25.764941484915116,58.32538443016681,none
2026-01-11 00:00:00+00:00,Postnord,1,0.418,0.418,True,0.9944080887752531,25.764941484915116,58.32538443016681,none
2026-01-11 00:00:00+00:00,Airmee,1,0.132,0.132,True,0.9944080887752531,25.764941484915116,58.32538443016681,none
2026-01-11 01:00:00+00:00,ICA,1,0.776,0.776,True,0.9945118013307844,25.615130516100116,58.01975696234336,none
2026-01-11 01:00:00+00:00,Mathem,1,0.286,0.286,True,0.9945118013307844,25.615130516100116,58.01975696234336,none
2026-01-11 01:00:00+00:00,Postnord,1,0.418,0.418,True,0.9945118013307844,25.615130516100116,58.01975696234336,none
2026-01-11 01:00:00+00:00,Airmee,1,0.132,0.132,True,0.9945118013307844,25.615130516100116,58.01975696234336,none
2026-01-11 02:00:00+00:00,ICA,1,0.776,0.776,True,0.9944843841783656,25.654739662565344,58.10057413110844,none
2026-01-11 02:00:00+00:00,Mathem,1,0.286,0.286,True,0.9944843841783656,25.654739662565344,58.10057413110844,none
